,index,RUC,nombreComercial,direccion,distrito,provincia,departamento,n_trabajadores,tamano_empresa
10199,13902,20508031476,LIDER GRUPO CONSTRUCTOR,"Av. Manuel Olguín 501, Piso 13",Santiago de Surco,Lima,Lima,91,Mediana Empresa/Medium Size Company
10200,13903,20478203676,PAQUISFARMA,"Jr. Antonio Miró Quesada 806, Of. 209",Cercado,Lima,Lima,32,Mediana Empresa/Medium Size Company
10201,13905,20393143470,,Av. Ariosto Matellini 443,Chorrillos,Lima,Lima,828,Mediana Empresa/Medium Size Company
10202,13906,20509460532,,Esq. Av. Nicolás de Piérola y Av. José Carlos Mariátegui S/N,Ate,Lima,Lima,171,Mediana Empresa/Medium Size Company
10203,13907,20510470878,LID´SE S.A.C.,Av. Bolivia 347,Cercado,Lima,Lima,328,Mediana Empresa/Medium Size Company
10204,13908,20508867949,,"Calle Las Acacias Mz. J, Lote 13, Urb. La Capitana",Lurigancho (Chosica),Lima,Lima,64,Mediana Empresa/Medium Size Company
10205,13909,20514807591,,"Calle La Milla 218, Of. 4, Urb. La Milla",San Martín de Porres,Lima,Lima,18,Mediana Empresa/Medium Size Company
10206,13910,20544628161,,"Av. Nicolás Ayllón 7208, Fundo La Estrella",Ate,Lima,Lima,0,Pequeña Empresa/Small Size Company
10207,13911,20536267698,,Calle Manuel Gonzales Olaechea 315,San Isidro,Lima,Lima,0,No disponible/Notavailable
10208,13912,20601151384,,"Calle Manuel Augusto Gonzales Olaechea 315, Urb. Limatambo",San Isidro,Lima,Lima,0,Mediana Empresa/Medium Size Company
10209,13913,20536903195,,"Av. Miguel Dasso 139, Of. 501",San Isidro,Lima,Lima,1,Mediana Empresa/Medium Size Company
10210,13914,20416496405,LIFT PARTS,"Av. Bocanegra Mz. G, Lote 40, Urb. Los Jazmines, Etapa I",Cercado Callao,Callao ,Lima,0,Pequeña Empresa/Small Size Company
10211,13915,20101258476,,Av. Brasil 2746,Pueblo Libre,Lima,Lima,0,Pequeña Empresa/Small Size Company
10212,13916,20299688373,,"Jr. Ica 809, Of. 303 ",Cercado,Lima,Lima,0,Mediana Empresa/Medium Size Company
10213,13917,20522022561,,Av. La Paz 1481,Miraflores,Lima,Lima,0,No disponible/Notavailable
10214,13918,20267223735,LUCKY SEVEN,Av. Aviación 3224,San Borja,Lima,Lima,0,Pequeña Empresa/Small Size Company
10215,13919,20525145680,,Av. Mariano Cornejo 1837,Pueblo Libre,Lima,Lima,0,No disponible/Notavailable
10216,13920,20501577252,,"Av. Elmer Faucett S/N, Aeropuerto Jorge Chávez, Piso 7",Cercado Callao,Callao,Lima,441,Gran Empresa/Big Company
10217,13921,20107301128,,"Calle Los Membrillos 101, Residencial Monterrico",La Molina,Lima,Lima,0,Pequeña Empresa/Small Size Company
10218,13922,20492418952,,"Av. Los Incas S/N, Urb. Los Incas, Av. Universitaria Cuadra 80",Comas,Lima,Lima,373,Mediana Empresa/Medium Size Company
10219,13923,20100182778,,"Carretera Central 349, km 1",Santa Anita,Lima,Lima,489,Gran Empresa/Big Company
10220,13924,20109423905,,Jr. Faustino Sánchez Carrión 200,Magdalena del Mar,Lima,Lima,0,Mediana Empresa/Medium Size Company
10221,13925,20100007348,,"Calle Bernini 149, Piso 4",San Borja,Lima,Lima,266,Gran Empresa/Big Company
10222,13926,20143547788,,Av. Camino Real 770,San Isidro,Lima,Lima,0,Mediana Empresa/Medium Size Company
10223,13927,20419258688,,"Calle Barlovento 127, Of. 36, Urb. Higuereta",Santiago de Surco,Lima,Lima,15,Mediana Empresa/Medium Size Company
10224,13928,20506091625,,Av. Ricardo Rivera Navarrete 645,San Isidro,Lima,Lima,7,No disponible/Notavailable
10225,13929,20492420001,,"Av. República de Panamá 3545, Of. 1401 ",San Isidro,Lima,Lima,0,Mediana Empresa/Medium Size Company
10226,13930,20101865283,,Av. Del Ejercito 1142,Miraflores,Lima,Lima,0,No disponible/Notavailable
10227,13932,20100174082,,"Calle Los Plásticos 156, Urb. Ind. Vulcano",Ate,Lima,Lima,0,No disponible/Notavailable
10228,13933,20536830376,,"Av. Nicolás De Piérola 589, Piso 18",Cercado,Lima,Lima,220,Gran Empresa/Big Company
10229,13934,20504082564,,"Av. Alfredo Mendiola 8082, Urb. Pro",San Martín de Porres,Lima,Lima,19,Mediana Empresa/Medium Size Company
10230,13935,20510394918,,"Calle Cantuarias 160, Of. 1002",Miraflores,Lima,Lima,371,Mediana Empresa/Medium Size Company
10231,13936,20101312519,,"Av. Mariscal Orbegoso 120, Urb. El Pino",San Luis,Lima,Lima,39,Mediana Empresa/Medium Size Company
10232,13937,20498710663,,"Calle Buenos Aires 122, Of. 801",Miraflores,Lima,Lima,408,Mediana Empresa/Medium Size Company
10233,13938,20537942381,,Av. República de Panamá 4672,Surquillo,Lima,Lima,353,Gran Empresa/Big Company
10234,13939,20492402797,,"Calle Federico Villareal 200, Urb. Santa Cruz ",Miraflores,Lima,Lima,31,Mediana Empresa/Medium Size Company
10235,13940,20553170975,,"Av. Los Faisanes 204, Urb. La Campiña ",Chorrillos,Lima,Lima,0,Mediana Empresa/Medium Size Company
10236,13942,20109104397,LIMASA,"Calle Santa Justina 188, Urb. Santa Florencia",San Miguel,Lima,Lima,0,Mediana Empresa/Medium Size Company
